"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)","USA","Military/Commercial","Navigation/Global Positioning","MEO","719.92","2,060",2007-12-20,"Cape Canaveral",20230.5
"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)","USA","Military/Commercial","Navigation/Global Positioning","MEO","716.4","2,217",2008-03-15,"Cape Canaveral",20143.5
"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718.07","2,059",2009-08-17,"Cape Canaveral",20184.5
"NEOSSat (Near Earth Object Surveillance Satellite)","NR","Government","Space Observation","LEO","100.4","74",2013-02-25,"Satish Dhawan Space Centre",779
"NFIRE (Near Field InfraRed Experiment)","USA","Military","Technology Development","LEO","97.6","494",2007-04-24,"Wallops Island Flight Facility",439.5
"NigComSat-1R","NR","Commercial","Communications","GEO","1436.1","5,150",2011-12-17,"Xichang Satellite Launch Center",35794
"NigeriaSat-2","Nigeria","Government","Earth Observation","LEO","98.7","300",2011-08-17,"Dombarovsky Air Base",698
"Nigeriasat-X","Nigeria","Government","Earth Observation/Technology Development","LEO","98.3","100",2011-08-17,"Dombarovsky Air Base",678.5
"Nilesat 102 ","NR","Government","Communications","GEO","1436.08","1,825",2000-08-17,"Guiana Space Center",35786
"Nilesat 201","NR","Government","Communications","GEO","1436.23","3,200",2010-08-04,"Guiana Space Center",35804
"Nimiq 2 ","Canada","Commercial","Communications","GEO","1436.08","3,600",2002-12-29,"Baikonur Cosmodrome",35786
"Nimiq 4","Canada","Commercial","Communications","GEO","1436.1","4,850",2008-09-19,"Baikonur Cosmodrome",35786.5
"Nimiq 5","NR","Commercial","Communications","GEO","1436.1","4,745",2009-09-17,"Baikonur Cosmodrome",35700
"Nimiq 6","NR","Commercial","Communications","GEO","1436.09","4,745",2012-05-18,"Baikonur Cosmodrome",35786.5
"NOAA-15 (NOAA-K)","USA","Government","Earth Observation","LEO","101","2,223",1998-05-13,"Vandenberg AFB",808
"NOAA-18 (NOAA-N, COSPAS-SARSAT)","USA","Government","Earth Observation","LEO","102","2,223",2005-05-20,"Vandenberg AFB",853.5
"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)","USA","Government","Earth Observation","LEO","102","1,420",2009-02-06,"Vandenberg AFB",854.5
"NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS])","USA","Government","Earth Observation","LEO","101.4","2,128",2011-10-28,"Vandenberg AFB",827
"NPS-SCAT (Naval Post-graduate School - Solar Cell Array Tester)","USA","Government","Technology Development","LEO","94.63","1",2013-11-19,"Wallops Island Flight Facility",433.5
"NSS-10 (Star One C-12, AMC-12, Americom 12, Worldsat 2)","USA","Commercial","Communications","GEO","1436.1","5,396",2005-02-03,"Baikonur Cosmodrome",35786.5
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ","USA","Commercial","Communications","GEO","1436.15","3,582",2000-10-02,"Baikonur Cosmodrome",35787
"NSS-12","United Kingdom","Commercial","Communications","GEO","1436.08","",2009-10-29,"Guiana Space Center",35786
"NSS-5 (Intelsat 803)","NR","Commercial","Communications","GEO","1436.08","3,412",1997-09-23,"Guiana Space Center",35786
"NSS-6 ","NR","Commercial","Communications","GEO","1436.12","4,575",2002-12-17,"Guiana Space Center",35786.5
"NSS-7 ","NR","Commercial","Communications","GEO","1436.12","4,500",2002-04-16,"Guiana Space Center",35786.5
"NSS-806 (Intelsat 806)","NR","Commercial","Communications","GEO","1436.11","3,720",1998-02-19,"Guiana Space Center",35786.5
"NSS-9","United Kingdom","Commercial","Communications","GEO","1436.17","2,238",2009-02-11,"Guiana Space Center",35788
"N-Star C ","Japan","Commercial","Communications","GEO","1436.08","1,625",2002-07-05,"Guiana Space Center",35785.5
"NuSTAR (Nuclear Spectroscopic Telescope Array)","USA","Government","Space Science","LEO","97.2","360",2012-06-13,"Kwajalein Island",622.5
"O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)","USA","Civil/Government","Space Science","LEO","97.48","6",2010-11-20,"Kodiak Launch Complex",639
"O3b FM02","United Kingdom","Commercial","Communications","MEO","287.93","700",2013-06-25,"Guiana Space Center",8066
"O3b FM03","United Kingdom","Commercial","Communications","MEO","287.92","650",2014-07-10,"Guiana Space Center",8065.5
"O3b FM04","United Kingdom","Commercial","Communications","MEO","287.93","700",2013-06-25,"Guiana Space Center",8065.5
"O3b FM05 (Other 3 Billion)","United Kingdom","Commercial","Communications","MEO","287.94","700",2013-06-25,"Guiana Space Center",8066
"O3b FM06","United Kingdom","Commercial","Communications","MEO","281.15","650",2014-07-10,"Guiana Space Center",7838
"O3B FM07","United Kingdom","Commercial","Communications","MEO","281.08","650",2014-07-10,"Guiana Space Center",7835.5
"O3B FM08","United Kingdom","Commercial","Communications","MEO","280.87","650",2014-07-10,"Guiana Space Center",7828.5
"O3B FM09","NR","Commercial","Communications","MEO","287.93","650",2014-12-18,"Guiana Space Center",8065.5
"O3B FM10","NR","Commercial","Communications","MEO","287.93","650",2014-12-18,"Guiana Space Center",8066
"O3B FM11","NR","Commercial","Communications","MEO","287.93","650",2014-12-18,"Guiana Space Center",8066
"O3B FM12","NR","Commercial","Communications","MEO","287.93","650",2014-12-18,"Guiana Space Center",8066
"O3b PFM","United Kingdom","Commercial","Communications","MEO","287.93","700",2013-06-25,"Guiana Space Center",8066
"Oceansat-2","India","Government","Earth Observation","LEO","99.2","960",2009-09-23,"Sriharikota Launch Station",723
"OCO 2  (Orbiting Carbon Observatory)","NR","Government","Earth Observation","LEO","98.83","454",2014-07-02,"Vandenberg AFB",702.5
"Odin ","Sweden","Government","Earth Observation","LEO","96.1","250",2001-02-20,"Svobodny Cosmodrome",571
"Ofeq 10","NR","Military","Earth Observation","LEO","94.47","300",2014-04-09,"Palmachim Launch Complex ",493
"Ofeq 5 ","NR","Military","Earth Observation","LEO","95.97","300",2002-05-28,"Palmachim Launch Complex ",565.5
"Ofeq 7","NR","Military","Earth Observation","LEO","93.75","300",2007-06-10,"Palmachim Launch Complex ",458
"Ofeq 9","NR","Military","Earth Observation","LEO","93.91","300",2010-06-22,"Palmachim Launch Complex ",466
"OPTOS","NR","Government","Technology Development","LEO","98.7","3",2013-11-21,"Dombarovsky Air Base",695.5
"Optus 10","NR","Commercial","Communications","GEO","1436.11","3,270",2014-09-11,"Guiana Space Center",35787
"Optus and Defence C1 ","Australia","Military/Commercial","Communications","GEO","1436.08","4,800",2003-06-12,"Guiana Space Center",35786
"Optus B3","NR","Commercial","Communications","GEO","1436.12","2,858",1994-08-28,"Xichang Satellite Launch Center",35787
"Optus D1 ","Australia","Commercial","Communications","GEO","1436.08","2,300",2006-10-13,"Guiana Space Center",35785.5
"Optus D2","Australia","Commercial","Communications","GEO","1436.1","2,400",2007-10-05,"Guiana Space Center",35786.5
"Optus D3","Australia","Commercial","Communications","GEO","1436.04","2,501",2009-08-21,"Guiana Space Center",35785
"ORBCOMM FM-10 (ORBCOMM A2)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-11 (ORBCOMM A3)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-12 (ORBCOMM A4)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-13 (ORBCOMM B1)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-14 (ORBCOMM B2)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-15 (ORBCOMM B3)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-16 (ORBCOMM B4)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-18 (ORBCOMM B6)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-19 (ORBCOMM B7)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-20 (ORBCOMM B8)","USA","Commercial","Communications","LEO","100.7","45",1998-08-02,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-21 (ORBCOMM C1)","USA","Commercial","Communications","LEO","101.21","45",1998-09-23,"Wallops Island Flight Facility",816
"ORBCOMM FM-23 (ORBCOMM C3)","USA","Commercial","Communications","LEO","100.7","45",1998-09-23,"Wallops Island Flight Facility",791
"ORBCOMM FM-27 (ORBCOMM C7)","USA","Commercial","Communications","LEO","100.7","45",1998-09-23,"Wallops Island Flight Facility",791
"ORBCOMM FM-30 (ORBCOMM D2)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",792
"ORBCOMM FM-31 (ORBCOMM D3)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-32 (ORBCOMM D4)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",791
"ORBCOMM FM-34 (ORBCOMM D6)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-35 (ORBCOMM D7)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-36 (ORBCOMM D8)","USA","Commercial","Communications","LEO","100.7","45",1999-12-04,"Wallops Island Flight Facility",791.5
"ORBCOMM FM-4 (ORBCOM G2)","USA","Commercial","Communications","LEO","100.9","45",1998-02-10,"Vandenberg AFB",803
"ORBCOMM FM-5 (ORBCOMM A6)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-6 (ORBCOMM A7)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-7 (ORBCOMM A8)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",772.5
"ORBCOMM FM-8 (ORBCOMM A1)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM FM-9 (ORBCOMM A5)","USA","Commercial","Communications","LEO","100.3","45",1997-12-23,"Wallops Island Flight Facility",773
"ORBCOMM OG2 FM-103","NR","Commercial","Communications","LEO","98.36","172",2014-07-14,"Cape Canaveral",680.5
"ORBCOMM OG2 FM-104","NR","Commercial","Communications","LEO","98.36","172",2014-07-14,"Cape Canaveral",680
"ORBCOMM OG2 FM-106","NR","Commercial","Communications","LEO","98.34","172",2014-07-14,"Cape Canaveral",680
"ORBCOMM OG2 FM-107","NR","Commercial","Communications","LEO","98.34","172",2014-07-14,"Cape Canaveral",679.5
"ORBCOMM OG2 FM-109","NR","Commercial","Communications","LEO","98.34","172",2014-07-14,"Cape Canaveral",679.5
"ORBCOMM OG2 FM-111","NR","Commercial","Communications","LEO","98.35","172",2014-07-14,"Cape Canaveral",679.5
"ORS-1 (Operationally Responsive Space One, USA 231)","USA","Military","Earth Observation","LEO","92.62","434",2011-06-30,"Wallops Island Flight Facility",403
"ORSES (ORS Enabler Satellite)","USA","Military","Technology Development","LEO","94.6","5",2013-11-19,"Wallops Island Flight Facility",441
"Ørsted ","Denmark","Government","Earth Observation","LEO","99.5","61",1999-02-23,"Vandenberg AFB",737
"Paksat-1R ","Pakistan","Government/Commercial","Communications","GEO","1436.1","5,120",2011-08-11,"Xichang Satellite Launch Center",35793
"Palapa C2 ","Indonesia","Commercial","Communications","GEO","1436.13","3,014",1996-05-15,"Guiana Space Center",35786.5
"Palapa D1","China","Commercial","Communications","GEO","1436.09","4,100",2009-08-31,"Xichang Satellite Launch Center",35786
"PAN-1 (Palladium at Night, P360, USA 207)","USA","Military","Communications","GEO","1436.12","",2009-09-08,"Cape Canaveral",35786.5
"ParkinsonSat-1","NR","Civil","Technology Development","LEO","95.19","5",2015-05-20,"Cape Canaveral",528
"Parus-95 (Cosmos 2407)","Russia","Military","Communications","LEO","104.7","825",2004-07-22,"Plesetsk Cosmodrome",978.5
"Parus-96 (Cosmos 2414)","Russia","Military","Communications","LEO","103.8","825",2005-01-20,"Plesetsk Cosmodrome",937.5
"Parus-99 (Cosmos 2463)","Russia","Military","Communications","LEO","105","820",2010-04-27,"Plesetsk Cosmodrome",995
"PCSat (Prototype Communications SATellite, Navy-Oscar 44, NO-44)","USA","Government","Technology Development/Communications","LEO","100.7","10",2001-09-30,"Kodiak Launch Complex",792.5
"Perseus M1","NR","Commercial","Communications","LEO","7.01","6",2014-06-19,"Dombarovsky Air Base",616
"Perseus M2","NR","Commercial","Communications","LEO","96.99","6",2014-06-19,"Dombarovsky Air Base",615
"Persona-2 (Cosmos 2486)","Russia","Military","Earth Observation","LEO","99.2","7,000",2013-06-07,"Plesetsk Cosmodrome",723.5
"Persona-3 (Cosmos 2506)","NR","Military","Earth Observation","LEO","99","7,000",2015-06-23,"Plesetsk Cosmodrome",715.5
"Phonesat 2.4","USA","Government","Technology Development","LEO","94.68","1",2013-11-19,"Wallops Island Flight Facility",503
"Picard","France","Government","Space Science","LEO","99.3","150",2010-06-15,"Dombarovsky Air Base",727
"Pléiades HR1A","France","Government","Earth Observation","LEO","98.7","1,000",2011-12-17,"Guiana Space Center",698
"Pléiades HR1B","France","Government","Earth Observation","LEO","98.45","970",2012-12-02,"Guiana Space Center",684.5
"PolyITAN-1","NR","Civil","Technology Development","LEO","97.03","1",2014-06-19,"Dombarovsky Air Base",616
"Popsat-HIP","NR","Commercial","Technology Development","LEO","96.97","3",2014-06-19,"Dombarovsky Air Base",613.5
"Prism (Pico-satellite for Remote-sensing and Innovative Space Missions, Hitomi)","Japan","Civil","Earth Observation","LEO","97","5",2009-01-23,"Tanegashima Space Center",613.5
"Proba 1 (Project for On-Board Autonomy)","ESA","Government","Technology Demonstration","LEO","96.98","100",2001-10-22,"Sriharikota Launch Station",614.5
"Proba 2 (Project for On-Board Autonomy)","ESA","Government","Technology Demonstration","LEO","99.2","130",2009-11-02,"Plesetsk Cosmodrome",718
"Proba V (Project for On-Board Autonomy)","ESA","Government","Earth Observation","LEO","101.21","140",2013-05-07,"Guiana Space Center",816.5
"Prometheus 1A","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",438
"Prometheus 1B","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",438
"Prometheus 2A","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",437.5
"Prometheus 2B","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",438
"Prometheus 3A","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",436
"Prometheus 3B","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",438
"Prometheus 4A","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",437
"Prometheus 4B","USA","Military","Technology Development","LEO","94.68","",2013-11-19,"Wallops Island Flight Facility",437
"PUCPSat-1","NR","Civil","Technology Development","LEO","96.9","1",2013-11-21,"Dombarovsky Air Base",614.5
"QB50P1 (EO 79)","Belgium","Civil","Space Science","LEO","96.96","2",2014-06-19,"Dombarovsky Air Base",613
"QB50P2 (EO 80)","Belgium","Civil","Space Science","LEO","96.98","2",2014-06-19,"Dombarovsky Air Base",614.5
"Qsat-EOS (KYUshu SATellite - Earth Observation System)","NR","Civil","Earth Observation","LEO","95.23","49",2014-11-06,"Dombarovsky Air Base",529.5
"QuetzSat-1","United Kingdom","Commercial","Communications","GEO","1436.09","5,514",2011-09-29,"Baikonur Cosmodrome",35786
"QZS-1 (Quazi-Zenith Satellite System, Michibiki)","Japan","Government","Navigation/Regional Positioning","GEO","1436","4,000",2010-09-11,"Tanegashima Space Center",35784
"Radarsat-2 ","Canada","Commercial","Earth Observation","LEO","100.7","2,924",2007-12-14,"Baikonur Cosmodrome",792
"Radio-ROSTO (RS-15, Radio Sputnik 15, Russian Defence, Sports and Technical Organization - ROSTO)","Russia","Civil","Communications","MEO","127.45","",1994-12-26,"Baikonur Cosmodrome",2025
"Raduga 1-8 (Raduga 1-M1, Cosmos 2450)","Russia","Military","Communications","GEO","1435.79","2,400",2009-02-28,"Baikonur Cosmodrome",35780.5
"Raduga 1-M2 (Raduga 1-9)","Russia","Military","Communications","GEO","1436.06","2,500",2010-01-28,"Baikonur Cosmodrome",35786
"Raduga 1-M3 ","Russia","Military","Communications","GEO","1436.13","2,400",2013-11-11,"Baikonur Cosmodrome",35787
"Rapid Pathfinder Program (NROL-66, USA 225)","USA","Military","Technology Development","LEO","109.42","350",2011-02-06,"Vandenberg AFB",1200.5
"RapidEye-1 (RapidEye-C)","Germany","Commercial","Earth Observation","LEO","97.3","175",2008-08-29,"Baikonur Cosmodrome",629.5
"RapidEye-2 (RapidEye A)","Germany","Commercial","Earth Observation","LEO","97.3","175",2008-08-29,"Baikonur Cosmodrome",629.5
"RapidEye-3 (RapidEye D)","Germany","Commercial","Earth Observation","LEO","97.3","175",2008-08-29,"Baikonur Cosmodrome",629
"RapidEye-4 (RapidEye E)","Germany","Commercial","Earth Observation","LEO","97.3","175",2008-08-29,"Baikonur Cosmodrome",629.5
"RapidEye-5 (RapidEye B)","Germany","Commercial","Earth Observation","LEO","97.3","175",2008-08-29,"Baikonur Cosmodrome",629.5
"RASAT","Turkey","Government","Earth Observation","LEO","98.4","113",2011-08-17,"Dombarovsky Air Base",682
"Rascom-QAF 1R","NR","Commercial","Communications","GEO","1436.1","3,050",2010-08-04,"Guiana Space Center",35786.5
"Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX)","Japan","Government","Technology Development","LEO","97","70",2005-08-23,"Baikonur Cosmodrome",616.5
"Relek (ICA-FC1)","Russia","Government","Earth Observation","LEO","99.22","253",2014-07-08,"Baikonur Cosmodrome",721
"Resourcesat 2 (exactView-2)","India","Government","Earth Observation","LEO","101.3","1,206",2011-04-20,"Sriharikota Launch Station",820
"Resurs-DK1 (Resurs - High Resolution 1)","Russia","Government/Commercial","Earth Observation","LEO","96","6,650",2006-06-15,"Baikonur Cosmodrome",567.5
"Resurs-P1","Russia","Government/Commercial","Earth Observation","LEO","93.9","5,900",2013-06-25,"Baikonur Cosmodrome",465.5
"Resurs-P2","NR","Government/Commercial","Earth Observation/Communications/Space Science","LEO","93.93","5,900",2014-12-26,"Baikonur Cosmodrome",466.5
"RISat-1 (Radar Imaging Satellite 1)","India","Military","Earth Observation","LEO","95.4","1,858",2012-04-25,"Satish Dhawan Space Centre",539.5
"RISat-2 (Radar Imaging Satellite 2)","India","Military","Earth Observation","LEO","41.2","93",2009-04-20,"Satish Dhawan Space Centre",421
"Rising-2","Japan","Civil","Earth Observation","LEO","97.27","41",2014-05-24,"Tanegashima Space Center",627.5
"Rodnik (Cosmos 2416, Strela 3M)","Russia","Military","Communications","LEO","114.7","225",2005-12-21,"Plesetsk Cosmodrome",1442
"Rodnik (Cosmos 2437, Strela 3M)","Russia","Military","Communications","LEO","115.9","280",2008-05-23,"Plesetsk Cosmodrome",1495.5
"Rodnik (Cosmos 2438, Strela 3M)","Russia","Military","Communications","LEO","115.8","280",2008-05-23,"Plesetsk Cosmodrome",1493
"Rodnik (Cosmos 2439, Strela 3M)","Russia","Military","Communications","LEO","115.8","280",2008-05-23,"Plesetsk Cosmodrome",1494
"Rodnik (Cosmos 2451, Strela 3M)","Russia","Military","Communications","LEO","116","280",2009-07-06,"Plesetsk Cosmodrome",1503.5
"Rodnik (Cosmos 2452, Strela 3M)","Russia","Military","Communications","LEO","115.9","280",2009-07-06,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2453, Strela 3M)","Russia","Military","Communications","LEO","116","280",2009-07-06,"Plesetsk Cosmodrome",1500.5
"Rodnik (Cosmos 2467, Strela 3M)","Russia","Military","Communications","LEO","115.9","225",2010-09-08,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2468, Strela 3M)","Russia","Military","Communications","LEO","115.9","225",2010-09-08,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2481, Strela 3M)","Russia","Military","Communications","LEO","115.9","280",2012-07-28,"Plesetsk Cosmodrome",1496.5
"Rodnik (Cosmos 2482, Strela 3M)","Russia","Military","Communications","LEO","115.86","250",2013-01-15,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2483, Strela 3M)","Russia","Military","Communications","LEO","115.86","250",2013-01-15,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2484, Strela 3M)","Russia","Military","Communications","LEO","115.86","250",2013-01-15,"Plesetsk Cosmodrome",1494.5
"Rodnik (Cosmos 2488, Strela 3M)","Russia","Military","Communications","LEO","115.9","280",2013-12-25,"Plesetsk Cosmodrome",1493.5
"Rodnik (Cosmos 2489, Strela 3M)","Russia","Military","Communications","LEO","115.8","280",2013-12-25,"Plesetsk Cosmodrome",1492
"Rodnik (Cosmos 2490, Strela 3M)","Russia","Military","Communications","LEO","115.8","280",2013-12-25,"Plesetsk Cosmodrome",1496.5
"Rodnik (Cosmos 2496, Strela 3M)","Russia","Military","Communications","LEO","115.88","280",2014-05-23,"Plesetsk Cosmodrome",1495.5
"Rodnik (Cosmos 2497, Strela 3M)","Russia","Military","Communications","LEO","115.85","280",2014-05-23,"Plesetsk Cosmodrome",1494
"Rodnik (Cosmos 2498, Strela 3M)","Russia","Military","Communications","LEO","115.82","280",2014-05-23,"Plesetsk Cosmodrome",1493
"RS-47 (Cosmos 2499)","Russia","Military","Technology Development","LEO","112.19","",2014-05-23,"Plesetsk Cosmodrome",1327.5
"Sapphire (Space Surveillance Mission of Canada)","Canada","Military","Space Observation","LEO","100.40","148",2013-02-25,"Satish Dhawan Space Centre",779.5
"SARAL (Satellite with ARGOS and ALTIKA)","NR","Government","Earth Observation","LEO","100.53","407",2013-02-25,"Satish Dhawan Space Centre",783.5
"SAR-Lupe 1","Germany","Military","Earth Observation","LEO","94.30","770",2006-12-19,"Plesetsk Cosmodrome",486.5
"SAR-Lupe 2","Germany","Military","Earth Observation","LEO","94.34","770",2007-07-02,"Plesetsk Cosmodrome",486.5
"SAR-Lupe 3","Germany","Military","Earth Observation","LEO","94.30","770",2007-11-01,"Plesetsk Cosmodrome",484.5
"SAR-Lupe 4","Germany","Military","Earth Observation","LEO","94.40","770",2008-03-27,"Plesetsk Cosmodrome",467
"SAR-Lupe 5","Germany","Military","Earth Observation","LEO","94.37","770",2008-07-22,"Plesetsk Cosmodrome",488
"Saudicomsat-1","Saudi Arabia","Commercial","Technology Development","LEO","99.2","12",2004-06-29,"Baikonur Cosmodrome",722
"Saudicomsat-2 ","Saudi Arabia","Commercial","Technology Development","LEO","99.6","12",2004-06-29,"Baikonur Cosmodrome",738
"Saudicomsat-3","Saudi Arabia","Commercial","Communications","LEO","98.4","12",2007-04-17,"Baikonur Cosmodrome",683
"Saudicomsat-4","Saudi Arabia","Commercial","Communications","LEO","98.7","12",2007-04-17,"Baikonur Cosmodrome",697.5
"Saudicomsat-5","Saudi Arabia","Commercial","Communications","LEO","98.5","12",2007-04-17,"Baikonur Cosmodrome",688
"Saudicomsat-6","Saudi Arabia","Commercial","Communications","LEO","98.8","12",2007-04-17,"Baikonur Cosmodrome",703
"Saudicomsat-7","Saudi Arabia","Commercial","Communications","LEO","98.6","12",2007-04-17,"Baikonur Cosmodrome",693
"Saudisat 1C (Oscar 50, SO 50)","Saudi Arabia","Government","Communications","LEO","97.8","10",2002-12-20,"Baikonur Cosmodrome",652.5
"Saudisat-2 ","Saudi Arabia","Government","Earth Observation","LEO","99.1","35",2004-06-29,"Baikonur Cosmodrome",715
"Saudisat-3 ","Saudi Arabia","Government","Earth Observation","LEO","98.1","200",2007-04-17,"Baikonur Cosmodrome",666.5
"Saudisat-4","Saudi Arabia","Government","Space Science","LEO","97.68","100",2014-06-19,"Dombarovsky Air Base",647.5
"SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1, USA 230)","USA","Military","Earth Observation","GEO","1436.11","4,500",2011-05-07,"Cape Canaveral",35786.5
"SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2, USA 241)","USA","Military","Earth Observation","GEO","1436.11","4,500",2013-03-19,"Cape Canaveral",35780
"SBSS-1 (Space Based Space Surveillance Satellite, SBSS Block 10 SV1, USA 216)","USA","Military","Space Observation","LEO","95.43","1,031",2010-09-26,"Vandenberg AFB",539.5
"SB-WASS 3-1 (Space Based Wide Area Surveillance System) (NOSS 3-1, NOSS C1-1, USA 160)","USA","Military","Earth Observation","LEO","107.26","5,000+",2001-09-08,"Vandenberg AFB",1100
"SB-WASS 3-1 (Space Based Wide Area Surveillance System) (NOSS 3-1,USA 160, NOSS C1-2) ","NR","Military","Earth Observation","LEO","107.26","5,000+",2001-09-08,"Vandenberg AFB",1100
"SB-WASS 3-2 (Space Based Wide Area Surveillance System) (NOSS 3-2, USA 173, NOSS C2-1) ","USA","Military","Earth Observation","LEO","107.4","5,000+",2003-12-02,"Vandenberg AFB",1106.5
"SB-WASS 3-2 (Space Based Wide Area Surveillance System) (NOSS 3-2, USA 173, NOSS C2-2) ","NR","Military","Earth Observation","LEO","107.4","5,000+",2003-12-02,"Vandenberg AFB",1106.5
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23) ","NR","Military","Earth Observation","LEO","107.4","5,000+",2005-02-03,"Cape Canaveral",1109.5
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23) ","USA","Military","Earth Observation","LEO","107.4","5,000+",2005-02-03,"Cape Canaveral",1110
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30)","USA","Military","Earth Observation","LEO","107.4","5,000+",2007-06-15,"Cape Canaveral",1107.5
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30)","NR","Military","Earth Observation","LEO","107.4","5,000+",2007-06-15,"Cape Canaveral",1108.5
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34)","USA","Military","Earth Observation","LEO","107.5","",2011-04-15,"Vandenberg AFB",1112
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34)","NR","Military","Earth Observation","LEO","107.4","5,000+",2011-04-15,"Vandenberg AFB",1107.5
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36)","USA","Military","Earth Observation","LEO","107.4","6,500",2012-09-13,"Vandenberg AFB",1107.5
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36)","NR","Military","Earth Observation","LEO","107.4","6,500",2012-09-13,"Vandenberg AFB",1107.5
"SCD-1 (Satélite de Coleta de Dados)","Brazil","Government","Earth Observation","LEO","99.7","110",1993-02-09,"Cape Canaveral",746
"SCD-2 (Satélite de Coleta de Dados)","NR","Government","Earth Observation","LEO","99.8","110",1998-10-23,"Cape Canaveral",747.5
"Scisat-1 (Atmospheric Chemistry Experiment)","Canada","Government","Space Science","LEO","97.6","150",2003-08-12,"Vandenberg AFB",643.5
"SDO (Solar Dynamics Observatory)","USA","Government","Space Science","GEO","1436.03","3,100",2010-02-11,"Cape Canaveral",35785
