"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
1984	66454	17026	55226	8675	"total"	"Work_time"	13235.7935075608	121680	8351	11228	0.630940637992696
1983	65138	16072	53108	8230	"total"	"Work_time"	12549.9109991036	118246	7842	12030	0.624864989127027
1982	64730	15373	51820	7686	"total"	"Work_time"	11955.2364650365	116550	7687	12910	0.642981845025058
1981	65233	15061	51940	7222	"total"	"Work_time"	11586.1580142183	117173	7839	13293	0.676583211654816
1980	64730	14011	51448	6624	"total"	"Work_time"	10739.7578026821	116178	7387	13282	0.687818118035698
1979	64648	12948	50897	5977	"total"	"Work_time"	9877.30903976806	115545	6971	13751	0.705759025250029
1978	62903	12133	48398	5249	"total"	"Work_time"	9139.56928509178	111301	6884	14505	0.75320836083917
1977	61704	11037	46194	4674	"total"	"Work_time"	8312.83067341378	107898	6363	15510	0.765443234679403
1976	60450	10301	44565	4296	"total"	"Work_time"	7752.67047564634	105015	6005	15885	0.774571809657545
1975	59268	9674	42926	3953	"total"	"Work_time"	7270.92696244398	102194	5721	16342	0.786832274557328
1974	59866	9121	42854	3563	"total"	"Work_time"	6802.24482087227	102720	5558	17012	0.817083205083359
1973	59438	8682	41583	3268	"total"	"Work_time"	6453.4498767583	101021	5414	17855	0.838931130386274
1972	57774	7991	39470	3182	"total"	"Work_time"	6039.09314713504	97244	4809	18304	0.796311612163392
1971	56886	7388	38485	2986	"total"	"Work_time"	5611.66369231737	95371	4402	18401	0.784437600212312
1970	55821	7152	38273	2730	"total"	"Work_time"	5353.33902267945	94094	4422	17548	0.826026519386531
1969	55273	6899	37737	2564	"total"	"Work_time"	5140.15799376411	93010	4335	17536	0.843359290757034
1968	54026	6442	35695	2512	"total"	"Work_time"	4878.47139465677	89721	3930	18331	0.805580207829936
1967	53222	6020	34391	2351	"total"	"Work_time"	4579.79616038716	87613	3669	18831	0.801127358404056
2014	72413	46068	54947	36175	"full_time"	"Work_time"	41799.8571686558	127360	9893	17466	0.236675449872551
2013	71854	45483	53247	35755	"full_time"	"Work_time"	41342.4510355633	125101	9728	18607	0.235302933336774
2012	70180	43963	53045	35388	"full_time"	"Work_time"	40271.6964901603	123225	8575	17135	0.212928700485592
2011	69029	42459	52355	34875	"full_time"	"Work_time"	39187.8907928557	121384	7584	16674	0.19352917053098
2010	68187	42036	51986	34239	"full_time"	"Work_time"	38663.0722874523	120173	7797	16201	0.201665298143687
2009	69178	41563	52156	32624	"full_time"	"Work_time"	37720.5281124829	121334	8939	17022	0.236979714953721
2008	72214	41371	53735	32066	"full_time"	"Work_time"	37401.1060349824	125949	9305	18479	0.248789433962107
2007	73747	40991	54596	31849	"full_time"	"Work_time"	37102.0724231162	128343	9142	19151	0.246401330247637
2006	73591	40293	53751	30793	"full_time"	"Work_time"	36283.0543418511	127342	9500	19840	0.261830217227388
2005	72063	38133	52614	30031	"full_time"	"Work_time"	34713.936114921	124677	8102	19449	0.233393296950776
2004	70798	37036	51687	28750	"full_time"	"Work_time"	33539.4209739968	122485	8286	19111	0.247052565589136
2003	69796	36693	51379	27756	"full_time"	"Work_time"	32903.6529977306	121175	8937	18417	0.271611179482607
2002	70148	35841	51578	27029	"full_time"	"Work_time"	32107.1605901779	121726	8812	18570	0.274455910707212
2001	70070	35316	51857	26337	"full_time"	"Work_time"	31497.1247467747	121927	8979	18213	0.285073639965167
2000	70186	34564	52076	25477	"full_time"	"Work_time"	30693.5037542327	122262	9087	18110	0.296056132032397
1999	69243	32672	51313	23741	"full_time"	"Work_time"	28870.642929427	120556	8931	17930	0.30934537972817
1998	67296	31750	49139	23047	"full_time"	"Work_time"	28077.0776227079	116435	8703	18157	0.309968156834145
1997	66133	30786	47777	21883	"full_time"	"Work_time"	27051.8359143183	113910	8903	18356	0.329108901451221
1996	65389	29604	46944	21185	"full_time"	"Work_time"	26085.6969545904	112333	8419	18445	0.32274391650933
1995	64139	28203	45910	20363	"full_time"	"Work_time"	24932.3260274968	110049	7840	18229	0.314451206492069
1994	63653	27045	44497	19774	"full_time"	"Work_time"	24053.4356264448	108150	7271	19156	0.302285299818299
1993	62537	26234	43788	19338	"full_time"	"Work_time"	23394.0089536798	106325	6896	18749	0.29477632558208
1992	62293	25810	43270	18741	"full_time"	"Work_time"	22912.4352282523	105563	7069	19023	0.308522421540052
1991	61672	25527	42788	17902	"full_time"	"Work_time"	22403.713574574	104460	7625	18884	0.340345361701715
1990	62362	24841	42940	16897	"full_time"	"Work_time"	21601.5994188145	105302	7944	19422	0.367750546891494
1989	62157	24483	42693	16201	"full_time"	"Work_time"	21110.7212589413	104850	8282	19464	0.392312507868115
1988	60558	23393	41573	15442	"full_time"	"Work_time"	20156.5005727938	102131	7951	18985	0.394463313276307
1987	59784	22167	40490	14710	"full_time"	"Work_time"	19155.9110836309	100274	7457	19294	0.3892793178797
1986	59187	21569	39214	13640	"full_time"	"Work_time"	18409.196684993	98401	7929	19973	0.430708636323258
1985	58274	20714	38172	12869	"full_time"	"Work_time"	17609.056923045	96446	7845	20102	0.445509378173071
1984	56954	20012	37269	12180	"full_time"	"Work_time"	16914.1278456428	94223	7832	19685	0.463044862346691
1983	55290	18639	35361	11706	"full_time"	"Work_time"	15934.5862262965	90651	6933	19929	0.435091310281948
1982	54944	17625	34486	10993	"full_time"	"Work_time"	15067.5679078609	89430	6632	20458	0.440150662705162
1981	55862	17087	34674	10230	"full_time"	"Work_time"	14460.8665503225	90536	6857	21188	0.474176286472063
1980	56055	15950	34727	9216	"full_time"	"Work_time"	13374.0309973343	90782	6734	21328	0.503513114433653
1979	56133	14893	34539	8135	"full_time"	"Work_time"	12318.7261116993	90672	6758	21594	0.548595685846267
1978	54565	13588	32603	7464	"full_time"	"Work_time"	11297.4716868576	87168	6124	21962	0.542068187444461
1977	53219	12465	30734	6828	"full_time"	"Work_time"	10401.3744237847	83953	5637	22485	0.541947609068848
1976	52189	11644	29381	6326	"full_time"	"Work_time"	9728.48991050631	81570	5318	22808	0.546641878536237
1975	51169	10918	28458	5853	"full_time"	"Work_time"	9107.81287754154	79627	5065	22711	0.556115948812421
1974	NA	NA	NA	NA	"full_time"	"Work_time"	NA	NA	NA	NA	NA
1973	51076	9787	28131	4853	"full_time"	"Work_time"	8034.65040968601	79207	4934	22945	0.614090190414746
1972	49956	8969	27178	4595	"full_time"	"Work_time"	7427.83045090362	77134	4374	22778	0.588866429963797
1971	48789	8269	26199	4358	"full_time"	"Work_time"	6902.59085453673	74988	3911	22590	0.566598844175951
1970	48045	7918	25926	4100	"full_time"	"Work_time"	6579.8341241838	73971	3818	22119	0.5802577888654
1969	47766	7608	26105	3789	"full_time"	"Work_time"	6258.41768759053	73871	3819	21661	0.610218139893808
1968	47325	7040	25379	3511	"full_time"	"Work_time"	5808.12154764525	72704	3529	21946	0.607597477265389
1967	46645	6561	24485	3296	"full_time"	"Work_time"	5437.0927175594	71130	3265	22160	0.600504749432633
2014	62455	50383	46226	39621	"full_time_50-52weeks"	"Work_time"	45805.5282064022	108681	10762	16229	0.23494980674616
2013	61240	50015	44629	38793	"full_time_50-52weeks"	"Work_time"	45284.3740566171	105869	11222	16611	0.247811750383689
2012	59009	49398	44042	37791	"full_time_50-52weeks"	"Work_time"	44437.3931742535	103051	11607	14967	0.261198940146762
2011	57993	48202	43683	37118	"full_time_50-52weeks"	"Work_time"	43439.987607695	101676	11084	14310	0.255156610542784
2010	56283	47951	43179	36888	"full_time_50-52weeks"	"Work_time"	43148.2685347168	99462	11063	13104	0.256394992793252
2009	56053	47127	43217	36278	"full_time_50-52weeks"	"Work_time"	42403.9091064773	99270	10849	12836	0.255849053273789
2008	59861	46367	44156	35745	"full_time_50-52weeks"	"Work_time"	41857.8809906073	104017	10622	15705	0.253763443074998
2007	62984	45113	45613	35102	"full_time_50-52weeks"	"Work_time"	40908.1716622006	108597	10011	17371	0.244718832282847
2006	63055	42261	44663	32515	"full_time_50-52weeks"	"Work_time"	38220.0263651386	107718	9746	18392	0.254997207665183
2005	61500	41386	43351	31858	"full_time_50-52weeks"	"Work_time"	37446.6162268362	104851	9528	18149	0.25444221561391
2004	60088	40796	42380	31240	"full_time_50-52weeks"	"Work_time"	36843.7097240114	102468	9556	17708	0.259365847564809
2003	58772	40668	41908	30724	"full_time_50-52weeks"	"Work_time"	36528.8149384187	100680	9944	16864	0.272223449262284
2002	58761	39429	41876	30203	"full_time_50-52weeks"	"Work_time"	35589.9748303308	100637	9226	16885	0.259230304151194
2001	58712	38275	41639	29215	"full_time_50-52weeks"	"Work_time"	34515.7017369035	100351	9060	17073	0.262489230816166
2000	59602	37252	41719	27462	"full_time_50-52weeks"	"Work_time"	33220.9599392031	101321	9790	17883	0.294693471167493
1999	58299	36391	40871	26316	"full_time_50-52weeks"	"Work_time"	32238.7833518201	99170	10075	17428	0.312511793328305
1998	56951	35345	38785	25862	"full_time_50-52weeks"	"Work_time"	31503.2042805214	95736	9483	18166	0.301016998637925
1997	54909	33674	37683	24973	"full_time_50-52weeks"	"Work_time"	30132.8756804044	92592	8701	17226	0.288754385485297
1996	53787	32144	36430	23710	"full_time_50-52weeks"	"Work_time"	28738.3157054657	90217	8434	17357	0.293475793308094
1995	52667	31496	35482	22497	"full_time_50-52weeks"	"Work_time"	27873.6955155475	88149	8999	17185	0.322849189300374
1994	51580	30854	34155	22205	"full_time_50-52weeks"	"Work_time"	27408.4224062518	85735	8649	17425	0.315559935256514
1993	49818	30407	33524	21747	"full_time_50-52weeks"	"Work_time"	26923.5481989873	83342	8660	16294	0.321651512497366
1992	48551	30197	33241	21375	"full_time_50-52weeks"	"Work_time"	26611.660333529	81792	8822	15310	0.331508815663217
1991	47888	29421	32436	20553	"full_time_50-52weeks"	"Work_time"	25839.9725611274	80324	8868	15452	0.343189218913516
1990	49171	27678	31682	19822	"full_time_50-52weeks"	"Work_time"	24599.6505015275	80853	7856	17489	0.319354130641498
1989	49678	27331	31340	18769	"full_time_50-52weeks"	"Work_time"	24018.9819299415	81018	8562	18338	0.356468064507214
1988	48285	26656	31237	17606	"full_time_50-52weeks"	"Work_time"	23101.0736902995	79522	9050	17048	0.391756682885273
1987	47013	25946	29912	16911	"full_time_50-52weeks"	"Work_time"	22432.7738706532	76925	9035	17101	0.402758929952023
1986	45912	25256	28420	16232	"full_time_50-52weeks"	"Work_time"	21805.7756013561	74332	9024	17492	0.413835314320982
1985	44943	24195	27383	15624	"full_time_50-52weeks"	"Work_time"	20949.9747946796	72326	8571	17560	0.409117437323917
1984	43808	23218	26466	14780	"full_time_50-52weeks"	"Work_time"	20040.1517488687	70274	8438	17342	0.421054695879553
1983	41528	21881	25166	13915	"full_time_50-52weeks"	"Work_time"	18875.1470597055	66694	7966	16362	0.422036446910962
1982	40105	21077	23702	13014	"full_time_50-52weeks"	"Work_time"	18081.8862037081	63807	8063	16403	0.445915869017388
1981	41773	20260	23329	12001	"full_time_50-52weeks"	"Work_time"	17300.4256244048	65102	8259	18444	0.477387098982667
1980	41881	18612	22859	11197	"full_time_50-52weeks"	"Work_time"	15993.842987334	64740	7415	19022	0.463615905562671
1979	42437	17014	22082	10151	"full_time_50-52weeks"	"Work_time"	14665.0986531099	64519	6863	20355	0.467981850128544
1978	41036	15730	20914	9350	"full_time_50-52weeks"	"Work_time"	13576.1449556094	61950	6380	20122	0.469941947501373
1977	39263	14626	19238	8618	"full_time_50-52weeks"	"Work_time"	12650.2747303465	58501	6008	20025	0.474930397012448
1976	38184	13455	18073	8099	"full_time_50-52weeks"	"Work_time"	11734.3432283982	56257	5356	20111	0.456437986834914
1975	37267	12758	17452	7504	"full_time_50-52weeks"	"Work_time"	11082.2967159488	54719	5254	19815	0.474089454078491
1974	37916	11863	16945	6970	"full_time_50-52weeks"	"Work_time"	10351.6916935528	54861	4893	20971	0.472676364873525
1973	39581	11186	17195	6335	"full_time_50-52weeks"	"Work_time"	9716.8414647034	56776	4851	22386	0.499236302004241
1972	38184	10202	16675	5903	"full_time_50-52weeks"	"Work_time"	8895.27138664577	54859	4299	21509	0.48329048245273
1971	36819	9399	16002	5593	"full_time_50-52weeks"	"Work_time"	8245.98108706764	52821	3806	20817	0.461558177227575
1970	36132	8966	15476	5323	"full_time_50-52weeks"	"Work_time"	7873.55177491862	51608	3643	20656	0.462688263714079
1969	37008	8227	15374	4977	"full_time_50-52weeks"	"Work_time"	7273.132259173	52382	3250	21634	0.446850116866917
1968	37068	7664	15013	4457	"full_time_50-52weeks"	"Work_time"	6739.54211708685	52081	3207	22055	0.475848350568098
1967	36645	7182	14846	4150	"full_time_50-52weeks"	"Work_time"	6307.80699539725	51491	3032	21799	0.480674187116445
2014	12081	10303	20624	10478	"part_time"	"Work_time"	10413.3562146461	32705	-175	-8543	-0.0168053407943414
2013	12001	10265	21574	10400	"part_time"	"Work_time"	10351.7457930007	33575	-135	-9573	-0.01304127851471
2012	12823	9912	21143	10120	"part_time"	"Work_time"	10041.4748866514	33966	-208	-8320	-0.0207140885525198
2011	12336	9256	20739	10034	"part_time"	"Work_time"	9743.82893424036	33075	-778	-8403	-0.0798454083349169
2010	12669	8713	20729	9784	"part_time"	"Work_time"	9377.73318761602	33398	-1071	-8060	-0.114206704176051
2009	12756	8877	20815	9525	"part_time"	"Work_time"	9278.77891632659	33571	-648	-8059	-0.0698367754899089
2008	11825	7977	20803	9089	"part_time"	"Work_time"	8685.99031506681	32628	-1112	-8978	-0.128022247281477
2007	10735	7492	19699	8967	"part_time"	"Work_time"	8446.72251429322	30434	-1475	-8964	-0.174623944080566
2006	10337	7181	19932	8820	"part_time"	"Work_time"	8260.27410882421	30269	-1639	-9595	-0.198419565550386
2005	10871	6918	19861	7966	"part_time"	"Work_time"	7595.28517506182	30732	-1048	-8990	-0.137980335938008
2004	10650	6566	20243	7484	"part_time"	"Work_time"	7167.5302495711	30893	-918	-9593	-0.128077589913894
2003	10712	6513	19993	7559	"part_time"	"Work_time"	7194.08379742713	30705	-1046	-9281	-0.14539724994225
2002	10352	6317	19833	7303	"part_time"	"Work_time"	6964.84952791121	30185	-986	-9481	-0.141568026135908
2001	10139	5687	19375	7061	"part_time"	"Work_time"	6588.9871925188	29514	-1374	-9236	-0.208529772460334
2000	10307	5757	19581	6630	"part_time"	"Work_time"	6328.9423514454	29888	-873	-9274	-0.137937739281292
1999	10079	5221	19739	6243	"part_time"	"Work_time"	5897.54631430679	29818	-1022	-9660	-0.173292407644301
1998	9999	5179	19706	6105	"part_time"	"Work_time"	5793.29914155866	29705	-926	-9707	-0.159839838643455
1997	10560	4937	19958	5749	"part_time"	"Work_time"	5468.0274592044	30518	-812	-9398	-0.148499620029001
1996	10733	4383	19717	5517	"part_time"	"Work_time"	5117.28827586207	30450	-1134	-8984	-0.221601742733355
1995	10481	4459	19646	5053	"part_time"	"Work_time"	4846.35101404056	30127	-594	-9165	-0.122566441902185
1994	10611	4315	20209	4926	"part_time"	"Work_time"	4715.63916288125	30820	-611	-9598	-0.129568862013327
1993	10661	3902	19872	4741	"part_time"	"Work_time"	4448.05207480431	30533	-839	-9211	-0.188621892435221
1992	10826	3964	19138	4663	"part_time"	"Work_time"	4410.45114136964	29964	-699	-8312	-0.158487188179785
1991	10367	3979	19008	4476	"part_time"	"Work_time"	4300.59918297872	29375	-497	-8641	-0.115565291917245
1990	9986	3941	18792	4242	"part_time"	"Work_time"	4137.55264438112	28778	-301	-8806	-0.0727483190839309
1989	9888	3385	18646	3900	"part_time"	"Work_time"	3721.53501086423	28534	-515	-8758	-0.138383757910799
1988	9909	3159	19085	3623	"part_time"	"Work_time"	3464.42319100504	28994	-464	-9176	-0.133932829339303
1987	9761	2834	18869	3491	"part_time"	"Work_time"	3267.00499476074	28630	-657	-9108	-0.201101620919963
1986	9541	2791	18472	3148	"part_time"	"Work_time"	3026.40870310213	28013	-357	-8931	-0.117961595746823
1985	9535	2735	18124	2906	"part_time"	"Work_time"	2847.05047181749	27659	-171	-8589	-0.0600621596605688
1984	9500	2516	17957	2741	"part_time"	"Work_time"	2663.15099974506	27457	-225	-8457	-0.0844863847455662
1983	9848	2385	17747	2756	"part_time"	"Work_time"	2623.59891284653	27595	-371	-7899	-0.141408809930278
1982	9786	2449	17334	2674	"part_time"	"Work_time"	2592.81084070796	27120	-225	-7548	-0.0867784091563594
1981	9371	2242	17267	2444	"part_time"	"Work_time"	2372.93828365493	26638	-202	-7896	-0.0851265291606609
1980	8675	2052	16721	2232	"part_time"	"Work_time"	2170.51393920302	25396	-180	-8046	-0.0829296678306949
1979	8514	1975	16358	1937	"part_time"	"Work_time"	1950.00788034738	24872	38	-7844	0.0194871007358343
1978	8338	1635	15795	1635	"part_time"	"Work_time"	1635	24133	0	-7457	0
1977	8485	1404	15461	1437	"part_time"	"Work_time"	1425.3068153345	23946	-33	-6976	-0.0231529097068516
1976	8262	1312	15184	1356	"part_time"	"Work_time"	1340.49509511217	23446	-44	-6922	-0.0328236933954004
1975	8099	1204	14468	1274	"part_time"	"Work_time"	1248.87791908539	22567	-70	-6369	-0.0560503143904283
1974	NA	NA	NA	NA	"part_time"	"Work_time"	NA	NA	NA	NA	NA
1973	8362	1061	13453	966	"part_time"	"Work_time"	1002.41485216594	21815	95	-5091	0.0947711417031894
1972	7817	984	12291	870	"part_time"	"Work_time"	914.31758504078	20108	114	-4474	0.124683153715036
1971	8097	891	12285	818	"part_time"	"Work_time"	847.000147188696	20382	73	-4188	0.0861865257548024
1970	7776	862	12347	733	"part_time"	"Work_time"	782.848630919843	20123	129	-4571	0.164782813566942
1969	7507	823	11632	703	"part_time"	"Work_time"	750.068289879304	19139	120	-4125	0.159985432818803
1968	6700	855	10316	805	"part_time"	"Work_time"	824.687353079455	17016	50	-3616	0.0606290369475118
1967	6577	829	9907	747	"part_time"	"Work_time"	779.717422955593	16484	82	-3330	0.105166304594261
2014	6029	14838	11113	14879	"part_time_50_52weeks"	"Work_time"	14864.5799206627	17142	-41	-5084	-0.00275823469070979
2013	5951	14865	11681	15639	"part_time_50_52weeks"	"Work_time"	15377.7662205082	17632	-774	-5730	-0.0503324077698473
2012	6211	14215	11277	14478	"part_time_50_52weeks"	"Work_time"	14384.5934926807	17488	-263	-5066	-0.0182834502854615
2011	5795	13779	11446	13740	"part_time_50_52weeks"	"Work_time"	13753.1085783887	17241	39	-5651	0.00283572254066863
2010	5839	12701	11294	13789	"part_time_50_52weeks"	"Work_time"	13418.2049261659	17133	-1088	-5455	-0.0810838712023521
2009	5918	13112	11492	12790	"part_time_50_52weeks"	"Work_time"	12899.4541068352	17410	322	-5574	0.0249622966470635
2008	5440	12280	11131	12714	"part_time_50_52weeks"	"Work_time"	12571.5245911532	16571	-434	-5691	-0.0345224635924757
2007	4956	12285	10527	12552	"part_time_50_52weeks"	"Work_time"	12466.5351676032	15483	-267	-5571	-0.0214173382106885
2006	4761	11849	10378	12463	"part_time_50_52weeks"	"Work_time"	12269.9057401414	15139	-614	-5617	-0.0500411342192533
2005	5173	11745	10215	12271	"part_time_50_52weeks"	"Work_time"	12094.174031713	15388	-526	-5042	-0.0434920151323056
2004	5005	11069	10518	11684	"part_time_50_52weeks"	"Work_time"	11485.708754751	15523	-615	-5513	-0.0535448019039842
2003	5060	11017	10289	11615	"part_time_50_52weeks"	"Work_time"	11417.861424197	15349	-598	-5229	-0.0523740810807796
2002	4533	10712	10110	11455	"part_time_50_52weeks"	"Work_time"	11224.9911903299	14643	-743	-5577	-0.0661915886971994
2001	4319	10411	9705	11063	"part_time_50_52weeks"	"Work_time"	10862.2022247576	14024	-652	-5386	-0.0600246604241943
2000	4441	10343	9587	10623	"part_time_50_52weeks"	"Work_time"	10534.3572854291	14028	-280	-5146	-0.0265796946518312
1999	4346	9366	9458	10242	"part_time_50_52weeks"	"Work_time"	9966.20341929875	13804	-876	-5112	-0.0878970620149792
1998	4236	8972	9327	9995	"part_time_50_52weeks"	"Work_time"	9675.49635036496	13563	-1023	-5091	-0.105731009857847
1997	4281	8976	9561	9425	"part_time_50_52weeks"	"Work_time"	9286.13502384048	13842	-449	-5280	-0.0483516553277842
1996	4351	8564	9068	8814	"part_time_50_52weeks"	"Work_time"	8732.93956330576	13419	-250	-4717	-0.0286272449485915
1995	4049	8129	8681	8757	"part_time_50_52weeks"	"Work_time"	8557.25357423409	12730	-628	-4632	-0.0733880321007326
1994	3974	7803	8972	8621	"part_time_50_52weeks"	"Work_time"	8369.90066429785	12946	-818	-4998	-0.0977311479321627
1993	4036	7237	8770	8080	"part_time_50_52weeks"	"Work_time"	7814.31610182727	12806	-843	-4734	-0.107878922354175
1992	3987	7061	8477	7696	"part_time_50_52weeks"	"Work_time"	7492.87540115533	12464	-635	-4490	-0.0847471719471125
1991	3857	6928	8084	7340	"part_time_50_52weeks"	"Work_time"	7206.92203333054	11941	-412	-4227	-0.0571672619870985
1990	3701	6868	7835	7173	"part_time_50_52weeks"	"Work_time"	7075.14935852982	11536	-305	-4134	-0.0431086305806804
1989	3656	6557	7610	6736	"part_time_50_52weeks"	"Work_time"	6677.91159240192	11266	-179	-3954	-0.0268047873235796
1988	3540	6145	7876	6496	"part_time_50_52weeks"	"Work_time"	6387.15802382621	11416	-351	-4336	-0.0549540184680971
1987	3306	5887	7680	6285	"part_time_50_52weeks"	"Work_time"	6165.23047515019	10986	-398	-4374	-0.064555575270737
1986	3244	5640	7296	6093	"part_time_50_52weeks"	"Work_time"	5953.57571157495	10540	-453	-4052	-0.0760887275052665
1985	3322	5386	6884	5552	"part_time_50_52weeks"	"Work_time"	5497.96786204194	10206	-166	-3562	-0.0301929738705944
1984	3163	5272	6655	5594	"part_time_50_52weeks"	"Work_time"	5490.26339376655	9818	-322	-3492	-0.0586492809007282
1983	3315	4825	7042	5258	"part_time_50_52weeks"	"Work_time"	5119.40822632036	10357	-433	-3727	-0.0845800883340034
1982	3173	4848	6593	4959	"part_time_50_52weeks"	"Work_time"	4922.93579766537	9766	-111	-3420	-0.0225475213494842
1981	2988	4434	6074	4882	"part_time_50_52weeks"	"Work_time"	4734.28161553741	9062	-448	-3086	-0.0946289292402276
1980	2889	4183	6012	4291	"part_time_50_52weeks"	"Work_time"	4255.94641051567	8901	-108	-3123	-0.0253762593751537
1979	2775	3736	5356	3871	"part_time_50_52weeks"	"Work_time"	3824.92633132456	8131	-135	-2581	-0.0352947974172485
1978	2637	3293	5058	3423	"part_time_50_52weeks"	"Work_time"	3378.45029239766	7695	-130	-2421	-0.0384791809110028
1977	2655	2813	4881	3149	"part_time_50_52weeks"	"Work_time"	3030.62420382166	7536	-336	-2226	-0.1108682493779
1976	2633	2523	4753	2971	"part_time_50_52weeks"	"Work_time"	2811.29461142702	7386	-448	-2120	-0.159357186606847
1975	2714	2451	4914	2799	"part_time_50_52weeks"	"Work_time"	2675.18353434714	7628	-348	-2200	-0.130084532717837
1974	NA	NA	NA	NA	"part_time_50_52weeks"	"Work_time"	NA	NA	NA	NA	NA
1973	2708	1994	4102	2053	"part_time_50_52weeks"	"Work_time"	2029.53861967695	6810	-59	-1394	-0.0290706466129683
1972	2546	1751	3776	1976	"part_time_50_52weeks"	"Work_time"	1885.38785194559	6322	-225	-1230	-0.119338840423638
1971	2647	1696	3818	1755	"part_time_50_52weeks"	"Work_time"	1730.84331013148	6465	-59	-1171	-0.0340874298988499
1970	2604	1645	3463	1739	"part_time_50_52weeks"	"Work_time"	1698.65452447668	6067	-94	-859	-0.0553379151825823
1969	2466	1515	3478	1552	"part_time_50_52weeks"	"Work_time"	1536.649730821	5944	-37	-1012	-0.0240783564776546
1968	2435	1291	3169	1528	"part_time_50_52weeks"	"Work_time"	1425.02087794433	5604	-237	-734	-0.166313352785319
1967	2353	1254	3143	1404	"part_time_50_52weeks"	"Work_time"	1339.78056768559	5496	-150	-790	-0.111958632344637
2001	80209	31364	71232	20851	"total"	"Job_type"	26419.0906557669	151441	10513	8977	0.397931940087618
2000	80494	30951	71657	20267	"total"	"Job_type"	25919.2658148813	152151	10684	8837	0.412203033693412
1999	79322	30079	71053	18440	"total"	"Job_type"	24579.5096126351	150375	11639	8269	0.473524500017567
1998	77295	28755	68846	17716	"total"	"Job_type"	23554.6045326089	146141	11039	8449	0.468655713778495
1997	76694	26843	67736	16716	"total"	"Job_type"	22093.5540954095	144430	10127	8958	0.458368986549979
1996	76121	25785	66661	16028	"total"	"Job_type"	21229.7242859744	142782	9757	9460	0.45959146094262
1995	74619	25018	65557	15322	"total"	"Job_type"	20483.4101130008	140176	9696	9062	0.473358681318691
1994	74264	23656	64706	14323	"total"	"Job_type"	19310.4498956609	138970	9333	9558	0.483313441707908
1993	73198	22443	63660	13896	"total"	"Job_type"	18467.3316430168	136858	8547	9538	0.462817269176618
1992	73120	21903	62408	13527	"total"	"Job_type"	18046.0154064105	135528	8376	10712	0.46414678317434
1991	72040	21857	61796	12884	"total"	"Job_type"	17713.9031650677	133836	8973	10244	0.506551261818739
1990	72348	21522	61732	12250	"total"	"Job_type"	17253.0627684964	134080	9272	10616	0.537411827941089
1989	72045	21376	61338	11736	"total"	"Job_type"	16942.9139245631	133383	9640	10707	0.568969425384635
1988	70467	20612	60658	11096	"total"	"Job_type"	16209.9292430887	131125	9516	9809	0.587047596401896
1987	69545	19818	59359	10619	"total"	"Job_type"	15581.952701235	128904	9199	10186	0.590362464601172
1986	68728	18782	57686	10016	"total"	"Job_type"	14781.8459347857	126414	8766	11042	0.593024716850229
1985	67809	17779	56296	9328	"total"	"Job_type"	13945.4921155473	124105	8451	11513	0.606002278727639
1984	66454	17026	55226	8675	"total"	"Job_type"	13235.7935075608	121680	8351	11228	0.630940637992696
1983	65138	16072	53108	8230	"total"	"Job_type"	12549.9109991036	118246	7842	12030	0.624864989127027
1982	64730	15373	51820	7686	"total"	"Job_type"	11955.2364650365	116550	7687	12910	0.642981845025058
2001	11779	54280	10154	35690	"exacutive_administrative_managerial"	"Job_type"	45673.6597820636	21933	18590	1625	0.407017963717032
2000	11576	52326	9951	33529	"exacutive_administrative_managerial"	"Job_type"	43636.9607934222	21527	18797	1625	0.430758688465615
1999	11362	51275	9516	31910	"exacutive_administrative_managerial"	"Job_type"	42448.6114570361	20878	19365	1846	0.456198667878691
1998	10818	48902	9251	30868	"exacutive_administrative_managerial"	"Job_type"	40589.0529672629	20069	18034	1567	0.444306991211283
1997	10448	45970	8852	29301	"exacutive_administrative_managerial"	"Job_type"	38324.7156476684	19300	16669	1596	0.434941257053113
1996	10396	42681	8493	27369	"exacutive_administrative_managerial"	"Job_type"	35796.3149452062	18889	15312	1903	0.427753527798552
1995	10156	42304	8013	26787	"exacutive_administrative_managerial"	"Job_type"	35460.6007485277	18169	15517	2143	0.437584239196631
1994	9906	41410	7570	25980	"exacutive_administrative_managerial"	"Job_type"	34726.2565804532	17476	15430	2336	0.444332373236143
1993	9294	40335	7402	25282	"exacutive_administrative_managerial"	"Job_type"	33661.4071633924	16696	15053	1892	0.447188672978903
1992	9368	40019	7076	24265	"exacutive_administrative_managerial"	"Job_type"	33239.9131598151	16444	15754	2292	0.473948289944558
1991	9145	38622	6656	23511	"exacutive_administrative_managerial"	"Job_type"	32256.6550218341	15801	15111	2489	0.468461469106812
1990	9244	37010	6577	22551	"exacutive_administrative_managerial"	"Job_type"	30999.2015043297	15821	14459	2667	0.466431369142863
1989	9221	36696	6370	21551	"exacutive_administrative_managerial"	"Job_type"	30508.2217946251	15591	15145	2851	0.496423557621711
1988	9139	34221	6411	20688	"exacutive_administrative_managerial"	"Job_type"	28641.5747266881	15550	13533	2728	0.472494970305875
1987	9814	31397	6135	18914	"exacutive_administrative_managerial"	"Job_type"	26595.2440905386	15949	12483	3679	0.46936963456714
